Damage,1.48
Damage,1.49
Damage,1.5
Damage,1.51
Damage,1.52
Damage,1.53
Damage,1.54
Damage,1.55
Damage,1.56
Damage,1.57
Damage,1.58
Damage,1.59
Damage,1.6
Damage,1.61
Damage,1.62
Damage,1.63
Damage,1.64
Damage,1.65
Damage,1.66
Damage,1.67
No,0.11
No,0.12
No,0.13
No,0.14
No,0.15
No,0.16
No,0.17
No,0.18
No,0.19
No,0.2
No,0.21
No,0.22
No,0.23
No,0.24
No,0.25
No,0.26
No,0.27
No,0.28
No,0.29
No,0.3
No,0.31
No,0.32
No,0.33
No,0.34
No,0.35
No,0.36
No,0.37
No,0.38
No,0.39
No,0.4
No,0.41
No,0.42
No,0.43
No,0.44
No,0.45
No,0.46
No,0.47
No,0.48
No,0.49
No,0.5
No,0.51
No,0.52
No,0.53
No,0.54
Slight,0.55
Slight,0.56
Slight,0.57
Slight,0.58
Slight,0.59
Slight,0.6
Slight,0.61
Slight,0.62
Slight,0.63
Slight,0.64
Slight,0.65
Slight,0.66
Slight,0.67
Slight,0.68
Slight,0.69
Slight,0.7
Slight,0.71
Slight,0.72
Slight,0.73
Slight,0.74
Slight,0.75
Slight,0.76
Slight,0.77
Slight,0.78
Slight,0.79
Slight,0.8
Slight,0.81
Slight,0.82
Slight,0.83
Slight,0.84
Slight,0.85
Slight,0.86
Slight,0.87
Slight,0.88
Slight,0.89
Slight,0.9
Slight,0.91
Slight,0.92
Slight,0.93
Slight,0.94
Slight,0.95
Slight,0.96
Slight,0.97
Slight,0.98
Slight,0.99
Slight,1
Slight,1.01
Slight,1.02
Slight,1.03
Slight,1.04
Slight,1.05
Significant,1.06
Significant,1.07
Significant,1.08
Significant,1.09
Significant,1.1
Significant,1.11
Significant,1.12
Significant,1.13
Significant,1.14
Significant,1.15
Significant,1.16
Significant,1.17
Significant,1.18
Significant,1.19
Significant,1.2
Significant,1.21
Significant,1.22
Significant,1.23
Significant,1.24
Significant,1.25
Significant,1.26
Significant,1.27
Significant,1.28
Significant,1.29
Significant,1.3
Significant,1.31
Significant,1.32
Significant,1.33
Significant,1.34
Significant,1.35
Significant,1.36
Significant,1.37
Significant,1.38
Significant,1.39
Significant,1.4
Significant,1.41
Significant,1.42
Significant,1.43
Significant,1.44
Significant,1.45
Significant,1.46
Significant,1.47
Significant,1.48